yetan	二战以来第一次 金融市场发生根本变化	2	3019	0	0	2016-08-24 11:30:13
yetan	我眼中中国最有经济前途的十个城市（上）	7	11260	0	2	2016-08-23 12:00:20
yetan	加拿大房价雪崩了 下一个轮到中国？	8	11602	1	6	2016-08-22 14:15:04
yetan	国企高管成下一波巨富？又到为国护盘时间窗口...	16	10551	0	3	2016-08-19 11:30:15
yetan	一个信号 一线城市核心城区就是富翁呆的地方...	7	6908	0	3	2016-08-18 11:00:05
yetan	深港通压倒了王宝强	12	9769	0	2	2016-08-17 14:15:15
yetan	该为P2P行业说句公道话了	10	7547	0	3	2016-08-15 13:45:35
yetan	强烈信号 经济进入"极冷""极热"的怪异周期...	17	10583	0	5	2016-08-12 11:30:04
yetan	金瓶梅里的网红女	12	8540	0	10	2016-08-11 12:30:03
yetan	恒大的钱到底哪里来的？	13	9124	0	3	2016-08-10 13:15:03
yetan	前所未有 中国人全球资产配置潮已经到来	11	9116	0	4	2016-08-09 11:15:08
yetan	小粉红们高呼口号的时候 全球企业格局彻底变化...	11	5279	0	4	2016-08-08 10:45:07
yetan	谁剥了监管层的脸皮？	17	11419	1	16	2016-08-05 14:30:03
yetan	这样做立马引发金融危机	19	16075	0	4	2016-08-04 17:45:16
yetan	不该抑制房价上涨 应该扩建城市群	9	5502	0	2	2016-08-03 11:30:27
yetan	赶尽杀绝的证监会？	23	17677	0	3	2016-08-02 11:00:22
yetan	宝万之争结局已定	16	10875	0	6	2016-08-01 14:45:17
yetan	“诈尸股”*欣泰	12	9266	0	4	2016-07-29 03:30:17
yetan	“诈尸股”*欣泰	6	8526	0	2	2016-07-28 14:00:04
yetan	看样子是要把股市改成有规矩的赌场了	22	15284	0	6	2016-07-27 14:15:07
yetan	楼继伟先生义无反顾推进"房地产税"改革会如何影响楼市...	4	6075	0	2	2016-07-26 16:15:21
yetan	旗帜鲜明地看多市场化新经济 其他不值得看	3	5411	0	0	2016-07-26 11:00:04
yetan	楼继伟先生义无反顾推进"房地产税"改革会如何影响楼市...	8	8481	0	0	2016-07-25 17:45:17
yetan	东北特钢变成今天这样就是被宠出来的	13	6838	0	3	2016-07-22 15:15:21
yetan	新经济模式诞生 投资模式业已发生巨大变化	4	7884	0	4	2016-07-21 11:15:03
yetan	八卦励志全是空 谁掌握资金谁笑到最后	5	6613	1	2	2016-07-20 14:45:05
yetan	从刘士余做不到的看股市下半年行情	14	11917	0	4	2016-07-19 16:15:02
yetan	房地产市场拐点没到来 年轻人该往哪个城市走...	8	7954	0	5	2016-07-18 12:15:03
yetan	赌博赌到疯 投机欣泰电气亏损活该	23	14548	0	3	2016-07-16 14:30:03
yetan	拉着索罗斯一起演戏	14	21391	0	34	2016-06-16 13:45:05
yetan	深圳钉子户的房该不该强拆？	10	9370	0	3	2016-06-15 08:30:04
yetan	内地与香港的进出口是热钱进出的分向标	7	4814	0	2	2016-06-14 13:00:05
yetan	剥夺本国中产收入阶层财富蠢不可及	24	14311	0	3	2016-06-13 14:00:05
yetan	给美国2500亿大礼包是明智的	11	13100	0	7	2016-06-08 11:15:04
yetan	信达是只凶猛的秃鹫	14	8731	1	2	2016-06-07 12:30:05
yetan	从证监会到税务局 让官员辞职来得更猛烈一些...	18	13891	0	4	2016-06-06 12:30:05
yetan	买学区房	9	10686	0	0	2016-06-03 14:04:01
yetan	区间扩大 国家队大挖股市防空洞	12	13771	0	0	2016-06-01 13:11:38
yetan	相信吗？GDP垫底的东三省城镇化在全国排名前列...	23	8055	0	5	2016-05-31 12:15:04
yetan	华为、中兴通讯从深圳外迁非常好	6	10912	0	5	2016-05-30 11:30:04
yetan	A股散户终于死了心了	14	23683	0	10	2016-05-27 13:00:04
yetan	人民币不要面子改要里子	15	9463	0	4	2016-05-26 10:45:04
yetan	我如果是王卫我也借壳 好处太大了	8	7777	0	7	2016-05-25 11:45:04
yetan	精英一烂 全部都烂	23	12696	0	7	2016-05-24 11:45:05
yetan	别再忽悠散户了	19	24054	0	8	2016-05-20 09:15:04
yetan	上海绝望的高地价意味着实体经济的绝望	7	8110	0	5	2016-05-19 13:15:05
yetan	最低工资接连上调 低收入阶层没什么好处	6	8360	0	5	2016-05-18 09:30:05
yetan	金融最大的问题是 迎面撞上的都有可能是骗子...	8	5979	1	0	2016-05-17 08:45:05
yetan	别对4月经济太悲观 现在就是震荡期	4	3315	0	3	2016-05-16 11:00:05
yetan	把A股市场整体交给国家队得了	26	17388	0	9	2016-05-13 15:30:05
yetan	不能走美国式金融之路	8	7346	0	9	2016-05-12 12:15:06
yetan	做一个经历千年考验的“股精”	7	9573	0	0	2016-05-11 12:45:06
yetan	解读权威人士看市场未来五年投资准则	5	9503	0	0	2016-05-10 13:15:05
yetan	中概股回归不算发国难财 就是理性人"圈傻钱"...	9	6251	0	0	2016-05-09 11:30:04
yetan	大城市房价不行了 为什么4月昆山房价江苏省内排名第一？...	3	8158	0	7	2016-05-06 13:30:05
yetan	上了市的乌鸡在A股市场就是凤凰	6	5065	0	3	2016-05-05 14:00:06
yetan	信用沦丧到这个地步 才是产业风险的真正根源...	11	8236	0	3	2016-05-04 13:15:05
yetan	徐翔注定是个象征人物	7	9959	0	0	2016-05-03 12:15:06
tyj	2016年8月24日盘中直播	6	14821	0	0	2016-08-24 15:41:53
tyj	天赢居：短调接近尾声	76	77681	0	0	2016-08-23 22:20:42
tyj	2016年8月23日盘中直播	14	30180	0	0	2016-08-23 15:56:11
tyj	天赢居：行情在突破回踩中前行	73	96714	0	0	2016-08-22 23:12:04
tyj	2016年8月22日盘中直播	34	40283	0	0	2016-08-22 15:56:21
tyj	天赢居：继续持股，市场将验证	60	100362	0	0	2016-08-21 22:52:16
tyj	2016年8月19日盘中直播	17	34759	0	0	2016-08-19 15:19:03
tyj	天赢居：持股到大箱体上边	66	94338	0	0	2016-08-18 22:18:27
tyj	2016年8月18日盘中直播	26	33206	0	2	2016-08-18 15:24:30
tyj	天赢居：胜利属于耐心持股的人	85	90443	0	0	2016-08-17 22:20:03
tyj	2016年8月17日盘中直播	32	33893	0	0	2016-08-17 16:00:25
tyj	中金访谈20160816	78	85292	1	0	2016-08-16 16:03:35
tyj	2016年8月16日盘中直播	35	32983	0	0	2016-08-16 15:29:51
tyj	天赢居：逼空气氛，持股待涨	89	102437	0	0	2016-08-15 18:17:07
tyj	2016年8月15日盘中直播	18	31634	0	0	2016-08-15 15:57:28
tyj	中金访谈20160816	78	85292	1	0	2016-08-16 16:03:35
tyj	2016年8月16日盘中直播	35	32983	0	0	2016-08-16 15:29:51
tyj	天赢居：逼空气氛，持股待涨	89	102437	0	0	2016-08-15 18:17:07
tyj	2016年8月15日盘中直播	18	31634	0	0	2016-08-15 15:57:28
tyj	天赢居：上升途中	45	68941	0	0	2016-08-15 08:54:38
tyj	2016年8月12日盘中直播	27	78956	0	0	2016-08-12 15:07:43
tyj	天赢居：不要打乱持股计划	87	95633	0	0	2016-08-11 22:08:56
tyj	2016年8月11日盘中直播	28	32751	0	0	2016-08-11 15:31:50
tyj	天赢居：初期震荡市、个股轮涨，持股	75	80054	0	0	2016-08-10 22:25:27
tyj	2016年8月10日盘中直播	20	30460	0	0	2016-08-10 15:30:54
tyj	天赢居：迎接新的上涨周期	70	90212	0	0	2016-08-09 19:37:18
